codigo;codigo_bloque;nombre
compe1;bloque1;Estimulación visual
compe2;bloque1;Estimulación auditiva
compe3;bloque1;Estimulación táctil
compe4;bloque1;Estimulación olfativa y respiratoria 
compe5;bloque1;Estimulación gustativa
compe6;bloque1;Estimulación psicomotora
compe7;bloque1;Estimulación comunicativa
compe8;bloque2;Psicomotricidad, percepción, atención, funciones ejecutivas (nivel 1)
compe9;bloque2;Psicomotricidad, percepción, atención, funciones ejecutivas (nivel 2)
compe10;bloque2;Psicomotricidad, percepción, atención, funciones ejecutivas (nivel 3)
compe11;bloque2;Memoria
compe12;bloque3;Aseo personal
compe13;bloque3;Atención a la salud 
compe14;bloque3;Relaciones afectivas y sexuales
compe15;bloque4;Socialización (nivel 1)
compe16;bloque4;Socialización (nivel 2)
compe17;bloque4;Relaciones interpersonales
compe18;bloque4;Relaciones en grupo
compe19;bloque4;Educación en valores
compe20;bloque4;Emociones
compe21;bloque4;Acoso escolar, seguridad en la red y adicciones
compe22;bloque5;En el comedor
compe23;bloque5;En el hogar
compe24;bloque5;En la escuela
compe25;bloque5;En los espacios públicos
compe26;bloque5;Uso de los servicios de la comunidad
compe27;bloque5;Economía doméstica
compe28;bloque5;Situaciones y señales de peligro
compe29;bloque6;Hábitos de trabajo y estudio
compe30;bloque6;Juegos y deportes
compe31;bloque6;Aficiones
compe32;bloque7;Hablar: hacia las primeras palabras
compe33;bloque7;Hablar: inicio del desarrollo gramatical
compe34;bloque7;Seguir instrucciones
compe35;bloque7;Comprender
compe36;bloque7;Expresar
compe37;bloque7;Conversar
compe38;bloque8;1ª Etapa. Desarrollo perceptivo-discriminativo
compe39;bloque8;2ª Etapa. Percepción global y reconocimiento de palabras escritas
compe40;bloque8;3ª Etapa. Aprendizaje y reconocimiento de las sílabas
compe41;bloque8;4ª Etapa. Progreso en la lectura
compe42;bloque9;Preescritura
compe43;bloque9;Escritura copiada
compe44;bloque9;Escritura al dictado
compe45;bloque9;Escritura espontánea
compe46;bloque9;Ortografía
compe47;bloque10;Morfología
compe48;bloque10;Sintaxis
compe49;bloque10;Lexicología y semántica
