codigo;cod_competencia;identificador;nombre
habi1;compe1;104; Los ojos responden ante la luz u otro tipo de estímulo
habi2;compe1;108; Determina la existencia de la dominancia de uno de los ojos en las tareas visuales 
habi3;compe1;110;Desarrolla y refuerza el control voluntario de los movimientos de los ojos
habi4;compe1;113; Siente y percibe la presencia de la luz y promueve la reacción ante ella favoreciendo la atención visual 
habi5;compe1;114; Favorece el contacto visual y promueve la fijación de la mirada. Mantiene el contacto ocular 
habi6;compe1;116; Promueve la atención hacia la otra persona en sus movimientos, gestos y acciones
habi7;compe1;118; Favorece la atención visual hacia los objetos y promueve la exploración de los mismos (desarrolla la intención de acción) 
habi8;compe1;120; Estimula el seguimiento visual de objetos en movimiento
habi9;compe1;121;Estimula a la persona hacia la conciencia visual del color a través de los matices de los colores más llamativos
habi10;compe2;142;Discrimina sonido-silencio
habi11;compe2;144;Atiende a estímulos auditivos reaccionando ante sonidos producidos por el cuerpo, por instrumentos musicales, por objetos, sonidos onomatopéyicos... 
habi12;compe2;146;Se orienta hacia la fuente del sonido
habi13;compe2;148;Reconoce y reacciona ante sonidos producidos por objetos de uso frecuente que le son familiares 
habi14;compe2;150;Identifica por la voz a personas adultas y compañeros conocidos
habi15;compe2;152;Reconoce por el tono de voz los distintos estados de ánimo
habi16;compe2;154;Reacciona ante la variación del volumen de la música, de la intensidad de la voz
habi17;compe2;156;Reacciona ante sonidos de distintas dependencias del entorno inmediato 
habi18;compe2;158;Reacciona ante la producción de sonidos agradables y/o desagradables
habi19;compe2;160;Produce sonidos tocando diferentes instrumentos, accionando distintos juguetes
habi20;compe2;162;Diferencia entre sonidos de palabras similares
habi21;compe3;180;Siente distintas sensaciones a través de las partes de su cuerpo tales como la cara, las manos, los brazos y las piernas 
habi22;compe3;182;Consigue una mayor conciencia de las manos, los dedos, los brazos, las piernas y la cara
habi23;compe3;184;Siente sensaciones contrarias: frío - calor, suavidad - rugosidad
habi24;compe3;186;Reconoce el diferente peso de los objetos, desarrollando la posibilidad de sujetar cosas, coger y dejar
