codigo;identificador;link;descripcion
vid1;104;S3etRA5i9hU;Estimulación temprana para el desarrollo visual y auditivo
vid2;104;kG5sNpbJh3E;Estimulación multisensorial en un centro de Educación Especial
vid3;106;S3etRA5i9hU;Estimulación temprana para el desarrollo visual y auditivo.
vid4;106;kG5sNpbJh3E;Estimulación multisensorial en un centro de Educación Especial
vid5;107;S3etRA5i9hU;Estimulación temprana para el desarrollo visual y auditivo.
vid6;107;kG5sNpbJh3E;Estimulación multisensorial en un centro de Educación Especial
vid7;108;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid8;108;-9-qKq848Nk;Ejercicios para determinar la dominancia visual
vid9;110;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid10;110;GCp28KYQzrE;Ejercicios para ojo perezoso (Ambliopía) 01
vid11;110;T6H9IsBUzyQ;Ejercicios para ojo perezoso (Ambliopía) 02
vid12;110;o8MJ9WfpPao;Ejercicios para ojo perezoso (Ambliopía) 03
vid13;110;Dxdxdqgc2_U;Ejercicios para ojo perezoso (Ambliopía) 04
vid14;110;86aSUbi0bKw;Ejercicios para ojo perezoso (Ambliopía) 05
vid15;110;G-ZPWKeYAuI;Ejercicios para ojo perezoso (Ambliopía) 06
vid16;110;DeF7AeZJzsY;Ejercicio de lectura veloz
vid17;113;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid18;114;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid19;114;Yol_mNTW8YU;Estimulación visual con formas en movimiento negras. Ayuda a concentrar la mirada 
vid20;114;LTo09OQ_i08;Estimulación visual con formas en movimiento blancas y negras. Ayuda a concentrar la mirada 
vid21;114;m9MloQXOsas;Estimulación visual con formas en movimiento rojas, blancas y negras. Ayuda a concentrar la mirada 
vid22;118;S3etRA5i9hU;Comprensión y justificación de absurdos visuales
vid23;118;uZz-Guzms04;Atención infantil: absurdos visuales
vid24;118;u_cQO1gqqS4;Atención infantil: imágenes absurdas
vid25;118;jGSaSaC44s4;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid26;120;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid27;120;Yol_mNTW8YU;Estimulación visual con formas en movimiento negras. Ayuda a concentrar la mirada 
vid28;120;LTo09OQ_i08;Estimulación visual con formas en movimiento blancas y negras. Ayuda a concentrar la mirada 
vid29;120;m9MloQXOsas;Estimulación visual con formas en movimiento rojas, blancas y negras. Ayuda a concentrar la mirada 
vid30;120;bE-mA3UpkDY;Estimulación visual con formas en movimiento blancas y negras 1
vid31;120;4zoLEZOeWW0;Estimulación visual con formas en movimiento blancas y negras 2
vid32;120;o2dsGZr3rp8;Entrenamos los músculos oculares
vid33;120;OC9yXTD9oOk;Construcción de tubo de burbujas para la estimulación sensorial
vid34;142;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid35;144;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid36;144;yxPimSBPumw;Atención y discriminación auditiva
vid37;146;S3etRA5i9hU;Cómo estimular a tu bebé para localizar la fuente del sonido
vid38;146;SnxqHjRXIEA;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid39;148;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid40;148;xajQwK47VnA;Los sonidos del cuerpo humano
vid41;148;0VAm5tKey-g;Los sonidos de los transportes
vid42;148;ZF29rHlRLZk;Jugamos a Adivinar los Sonidos de los Animales, la Casa y la Ciudad
vid43;148;EHmZvu2yAZk;Adivinamos los sonidos, discriminacion Auditiva 1
vid44;148;nOR2eFHDklw;Adivinamos los sonidos, discriminacion Auditiva 2
vid45;148;nKsIlUwODaw;Adivinamos los sonidos, discriminacion Auditiva 3
vid46;148;IfbMejqClkc;Los sonidos de la casa
vid47;148;zDvsffsAE4s;Adivina cuál hace el sonido
vid48;150;SnxqHjRXIEA;Cómo estimular a tu bebé para localizar la fuente del sonido
vid49;152;1uMvmFKuTgY;Voces de estados de ánimos
vid50;154;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid51;154;7H7i8NBNpLs;Discriminación auditiva: intensidad (fuerte, débil) y silencio
vid52;156;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid53;158;5WMaSCFTDQg;Sonidos agradables y desagradables
vid54;158;r4c0IykCsqM;Sonidos agradables y desagradables con Miss Moni
vid55;160;S3etRA5i9hU;Vídeo de estimulación temprana. Este material va dirigido a los familiares, docentes y cuidadores interesados en ser agentes activos durante el desarrollo visual y auditivo
vid56;160;4oAmDurPjro;Percusiones corporales
vid57;162;GlUMp46bNsE;¿Son iguales 1?
vid58;162;H967iLw9AY4;¿Son iguales 2?
vid59;162;jM2JW0BOqcI;Pares fonológicos
vid60;180;EPk2ATDEA-c;Estimulando la sensibilidad con un cepillo de dientes
vid61;180;HCI5gzfZJzw;Estimulando la sensibilidad con una cuchara fría
vid62;180;5fNzMHQQyPA;Estimulando la sensibilidad con una cubito de hielo
vid63;180;EfjN-3yh0ls;Estimulando la sensibilidad con una cuchara caliente
vid64;180;DPA-7BQgAR8;Canciones para jugar con las manos
vid65;180;YLyKzCwalRM;Estimulación sensorial somática y táctil con materiales reciclados
vid66;180;h9lTyb_TiOE;Actividades de estimulación táctil para niño ciego
vid67;180;StKAJVYzHWc;Terapia sensorial swing
vid68;182;DPA-7BQgAR8;Canciones para jugar con las manos
vid69;182;mDqI1nN_-DU;Señor y señora Pulgar
vid70;184;lDh4uWG1Xe8;Estimulación Sensorial. Frio y caliente.
vid71;184;ZFT9LAsluYA;Liso, rugoso, duro y blando
vid72;184;1z6eLGNmtkI;Actividad liso y rugoso
vid73;188;h9lTyb_TiOE;Actividades de estimulación táctil para niño ciego
vid74;188;CNe64qMwMnk;Cómo construir un panel sensorial de psicomotricidad fina
vid75;188;OSXED9tGAxY;Cómo mejorar la memoria sensorial del tacto jugando
vid76;188;HFU1PaQDNCI;Cómo hacer figuras en relieve con un lápiz 3D
vid77;188;j7kbZU67zLM;Localización de objetos caídos por personas con discapacidad visual
vid78;188;W3VyoHcHYtQ;Marcar objetos para hacerlos reconocibles al tacto
vid79;210;ibJFHBTWBDA;Respira. Videocuento
vid80;210;eHanHFnGjO4;Diversas maneras de trabajar el soplo
vid81;210;YXjTge6NfAo;Fabricar un instrumento para practicar el soplo
vid82;210;BP0uq-AqBkw;Fisioterapia respiratoria
vid83;210;_sEa9_EdaOc;Pequeñas relajaciones: respiración
vid84;210;tmZ4JcxBd0Y;Ejercicios sencillos para potenciar el trabajo actoral: Respiración
vid85;212;AjBpl6wMtY8;Respiración diafragmática
vid86;212;_sEa9_EdaOc;Pequeñas relajaciones: respiración
vid87;212;qhUyu_jzvLc;Pequeñas relajaciones: meditación
vid88;214;8eRnXibBMUY;Olores desagradables
vid89;214;KOQO8KQnXy8;Olores agradables
vid90;214;SnJxfGxX2-A;Willy el agricultor. Olores agradables y desagradables
vid91;216;NS00o52iG8E;Actividad para estimular el oído y el olfato
vid92;218;DnYqJoiEne4;Emilio con seis meses aprende a oler
vid93;220;Ae9W3HJfKQ0;Aprender a Respirar
vid94;220;3PTXYrbJ-tc;Jugar a soplar para respirar correctamente
vid95;222;Mv4a9UOcQnQ;Higiene nasal
vid96;224;Mv4a9UOcQnQ;Cómo sonarse la nariz correctamente
vid97;226;Nk4eHI6hlkg;Ejercicios respiratorios para expulsar flemas y ganar frecuencia respiratoria
vid98;226;QMjeTlXUHas;Tos dirigida
vid99;240;lRWnSwBOV3E;Estimulando la sensibilidad: sabor salado
vid100;240;IuA4v0wjG0U;Estimulando la sensibilidad: sabor dulce
vid101;240;zvqUycR9NWs;Estimulando la sensibilidad: sabor ácido
vid102;240;0KHLbkeXADI;Estimulando la sensibilidad: sabor amargo
vid103;240;VBKDeJbGdlU;Estimulando la sensibilidad: sabor umami
vid104;240;1biyI3g1SWw;Cómo enseñar a comer a un bebé
vid105;242;dm7o44GVYa4;Praxias linguales y de mandíbulas
vid106;242;stqdisTR5I8;Praxias orolinguofaciales
vid107;242;JJ8pgfYCWoI;Cuento del gusanito: Praxias orofaciales
vid108;242;PmAVh2jniFQ;Ejercicios para fortalecer la musculatura de la boca
vid109;242;CBog5AhrSP4;Tabla de ejercicios de logopedia
vid110;250;VIGQaR1M45Y;Estimulación sensorial de la deglución
vid111;250;Z4oLgmqlqWs;Ejercicios orofaciales
vid112;250;pUfkx-yoaVM;Ejercicios para fortalecer el suelo de la boca: Succión
vid113;250;pIWg7Kkaa1w;Ejercicios para fortalecer el suelo de la boca: Succión con cañita
vid114;250;Ev505vaS_OU;Ejercicios para fortalecer el suelo de la boca: tragar con fuerza
vid115;250;WJW_KKitBn8;Ejercicios para la comunicación y la deglución. Exceso de salivación
vid116;250;CBog5AhrSP4;Ejercicios para la rehabilitación del proceso de deglución
vid117;250;rRu5O0h7f-c;Consejos para abordar la disfagia orofaríngea
vid118;252;WJW_KKitBn8;Ejercicios para la comunicación y la deglución. Exceso de salivación
vid119;272;CdUjqKw9Shc;Baile para trabajar la lateralidad
vid120;272;Q5LIJH-MBkU;Cómo trabajar la lateralidad
vid121;272;fBaKHPjELVI;Desarrollo del tacto en los dedos
vid122;272;Y5eZ4MLG_Io;Cómo mejorar el tono muscular en Bebés con Síndrome de Down
vid123;272;xgAJJmtgQ0s;Aprendiendo el esquema corporal bailando
vid124;272;osqFRsPficQ;Ejercicio para estimular el caminar
vid125;272;2ZHR3GUZR1I;Ejercicios  para estimular el anda
vid126;272;JHbmfw2skRo;Ejercicios de praxias ideomotoras
vid127;272;blVPaGP_mHQ;Ejercicios para mejorar el equilibrio
vid128;272;4apiM0kL89o;Aprendiendo a caminar con una barra
vid129;272;hqRsqxDh04A;Gimnasia cerebral: pulgar y meñique
vid130;272;wSKsc7S5w08;Gimnasia cerebral con manos 1
vid131;272;1U06_wr-Xm4;Gimnasia cerebral con manos 2
vid132;272;ZTc84QRKXiI;Rana salta. Gimnasia cerebral
vid133;272;StKAJVYzHWc;Terapia sensorial swing
vid134;274;1TM7S2ELQqs;Relajación guiada para niños
vid135;274;hwGsZpzX4Cs;Técnica kabat y bobath para inhibir reflejos
vid136;274;0TTa2pajZm0;Postura inhibidora de miembro inferior en extensión de bobath
vid137;274;B2c_JurE0yQ;Posturas bobath de 1.0 a 1.8
vid138;274;Il-iA74BAXc;Activación de miembros inferiores y control de tronco. Concepto Bobath
vid139;274;zpsGa5JXCKc;Ejercicios de relajación del cuello
vid140;276;jPpSyE0ITSM;Cómo agarrar bien el lápiz, cómo difuminar y cómo borrar: Técnicas de dibujo básicas
vid141;276;XIGMZ_tl93g;Ejercicios para mejorar el agarre en pinza
vid142;276;gfnSh8idXT8;Ejercicios para mejorar la motricidad fina
vid143;276;IBljk9uDyOQ;Pelota para agarrar mejor el lápiz
vid144;276;sYA7IEf4TT8;Rehabilitación de la hemiplejia: el miembro superior
vid145;276;CNe64qMwMnk;Cómo construir un panel sensorial de psicomotricidad fina
vid146;276;vpDDkAEgxOE;Actividades de coordinación simultánea de manos
vid147;276;4SMxpE6tqxE;Ejercicio sencillo de trasvase
vid148;276;yx3c_3XGacs;Motricidad fina - Aprendiendo a coser
vid149;276;5i54VII34pc;Adapatación para facilitar el agarre de clavijas eléctricas
vid150;278;6XBO2ARwPZ4;Estimulación Temprana (Reflejo de prensión)
vid151;278;QEkrhJo2Sj8;Reacción de Prensión Palmar  
vid152;278;vpDDkAEgxOE;Actividades de coordinación simultánea de manos
vid153;280;B2RRx-N1in8;Ejercicios para estimular arrastre, gateo, marcha
vid154;280;kodE92EawCY;Dinamica para aumentar la confianza
vid155;280;rHhdVi-O9R8;Juego de estimulación: Encima y debajo
vid156;282;zpsGa5JXCKc;Ejercicios de relajación del cuello
vid157;282;qhUyu_jzvLc;Pequeñas relajaciones: meditación
vid158;302;dm7o44GVYa4;Praxias linguales y de mandíbulas
vid159;302;stqdisTR5I8;Praxias orolinguofaciales
vid160;302;W5Iy_2zsEXk;Praxias linguales
vid161;302;QSNLxxmxWa4;Actividades para fomentar el lenguaje
vid162;306;dm7o44GVYa4;Praxias linguales y de mandíbulas
vid163;306;stqdisTR5I8;Praxias orolinguofaciales
vid164;306;JJ8pgfYCWoI;Cuento del gusanito: Praxias orofaciales
vid165;316;XFmmJgvB_90;Cómo hacer un juguete para aprender Braille
vid166;316;E4QMMJ9j9pw;Cómo adaptar un peluche para aprender Braille
vid167;316;dwv-Q9iBOJ4;El alfabeto Braille
vid168;316;UnPohorkKqY;Abecedario en lenguaje de señas argentino
vid169;316;Ek6BE-Acsw8;Abecedario en lenguaje de señas colombiano
vid170;316;xMyGJev4yGY;Abecedario en lenguaje de señas español
vid171;316;3fmX5MbIQLA;Abecedario y números en lenguaje de señas mexicano
vid172;316;J7q73qeatlw;Abecedario y números en lenguaje de señas nicaragüense
vid173;316;1ddUDQMHhKU;Abecedario en lenguaje de señas peruano
vid174;316;Dn5Niu9_kxs;La hormiguita: cantando aprendo a hablar con lengua de señas
vid175;316;puidGkZYtG8;Oso perezoso: cantando aprendo a hablar con lengua de señas
vid176;316;_jpwsJH3KDU;Los quiero mucho: cantando aprendo a hablar con lengua de señas
vid177;316;MR-1QlsJNKY;El cajón de las vocales: cantando aprendo a hablar con lengua de señas
vid178;316;KTsIbG8QnVk;Acciones básicas en la escuela con pictogramas 1
vid179;316;NYjuwTUb6dI;Acciones básicas en la escuela con pictogramas 2
vid180;316;74iqSi5Sets;Oraciones básicas en la escuela con pictogramas
